,x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040,x041,x042,x043,x044,x045,x046,x047,x048,x049
x001,-1.20,0.37,0.46,0.33,0.27,-0.49,-0.24,-0.11,-0.50,-0.30,-0.22,-0.46,-0.18,-0.23,-0.37,-0.25,-0.15,-0.10,-0.47,-0.21,-0.20,-0.36,-0.15,-0.22,-0.22,-0.46,-0.43,-0.46,-0.39,-0.28,-0.44,-0.13,-0.17,-0.46,-0.37,-0.29,-0.49,-0.34,-0.48,-0.40,-0.40,-0.23,-0.26,-0.37,-0.30,-0.28,-0.18,-0.27,-0.10
x002,0.10,-0.50,0.10,0.10,0.10,-0.14,-0.39,-0.36,-0.13,-0.16,-0.26,-0.45,-0.26,-0.21,-0.15,-0.44,-0.33,-0.30,-0.19,-0.32,-0.28,-0.49,-0.49,-0.35,-0.23,-0.23,-0.23,-0.37,-0.24,-0.34,-0.38,-0.36,-0.19,-0.14,-0.12,-0.23,-0.30,-0.12,-0.37,-0.48,-0.19,-0.49,-0.22,-0.43,-0.25,-0.46,-0.24,-0.40,-0.34
x003,-0.14,-0.25,-0.36,-0.35,-0.21,-0.48,-0.20,-0.15,-0.38,-0.28,-0.47,-0.26,-0.13,-0.27,-0.35,-0.33,-0.14,-0.20,-0.40,-0.22,-0.45,-0.38,-0.16,-0.47,-0.40,-0.35,-0.38,-0.11,-0.19,-0.25,-0.12,-0.38,-0.41,-0.29,-0.42,-0.28,-0.34,-0.33,-0.39,-0.43,-0.41,-0.38,-0.36,-0.14,-0.23,-0.18,-0.22,-0.26,-0.43
x004,-0.36,-0.47,-0.25,-0.36,-0.26,-0.49,-0.16,-0.13,-0.11,-0.33,-0.30,-0.40,-0.11,-0.25,-0.35,-0.33,-0.23,-0.40,-0.31,-0.13,-0.20,-0.13,-0.36,-0.34,-0.27,-0.35,-0.46,-0.33,-0.23,-0.15,-0.34,-0.49,-0.10,-0.46,-0.11,-0.22,-0.49,-0.13,-0.17,-0.49,-0.50,-0.42,-0.22,-0.50,-0.29,-0.33,-0.16,-0.21,-0.17
x005,-0.19,-0.45,-0.13,-0.33,-0.47,-0.47,-0.48,-0.22,-0.27,-0.22,-0.32,-0.20,-0.23,-0.46,-0.36,-0.47,-0.47,-0.12,-0.29,-0.31,-0.11,-0.25,-0.22,-0.41,-0.40,-0.35,-0.43,-0.44,-0.17,-0.38,-0.12,-0.21,-0.37,-0.27,-0.32,-0.11,-0.11,-0.47,-0.43,-0.46,-0.49,-0.29,-0.33,-0.35,-0.47,-0.32,-0.47,-0.46,-0.14
x006,-0.39,-0.26,-0.37,-0.38,-0.48,-0.35,-0.43,-0.10,-0.13,-0.14,-0.15,-0.43,-0.22,-0.16,-0.37,-0.21,-0.20,-0.30,-0.31,-0.35,-0.17,-0.31,-0.30,-0.32,-0.41,-0.17,-0.33,-0.21,-0.40,-0.47,-0.19,-0.31,-0.14,-0.39,-0.13,-0.32,-0.41,-0.15,-0.18,-0.34,-0.38,-0.16,-0.44,-0.40,-0.45,-0.41,-0.18,-0.16,-0.12
x007,-0.38,-0.25,-0.37,-0.11,-0.34,-0.24,-0.45,-0.49,-0.42,-0.41,-0.21,-0.43,-0.23,-0.50,-0.48,-0.30,-0.18,-0.11,-0.22,-0.34,-0.22,-0.34,-0.43,-0.45,-0.34,-0.14,-0.15,-0.25,-0.25,-0.49,-0.29,-0.15,-0.42,-0.20,-0.45,-0.22,-0.49,-0.29,-0.24,-0.12,-0.27,-0.39,-0.13,-0.41,-0.46,-0.49,-0.30,-0.19,-0.33
x008,-0.23,-0.29,-0.36,-0.34,-0.30,-0.26,-0.28,-0.19,-0.47,-0.32,-0.10,-0.21,-0.27,-0.25,-0.32,-0.49,-0.29,-0.42,-0.26,-0.33,-0.20,-0.40,-0.24,-0.46,-0.37,-0.39,-0.40,-0.47,-0.38,-0.40,-0.30,-0.24,-0.24,-0.20,-0.48,-0.23,-0.23,-0.36,-0.26,-0.28,-0.42,-0.25,-0.24,-0.16,-0.19,-0.20,-0.33,-0.12,-0.11
x009,-0.43,-0.16,-0.24,-0.26,-0.21,-0.29,-0.43,-0.27,-0.16,-0.44,-0.34,-0.27,-0.23,-0.36,-0.10,-0.41,-0.45,-0.32,-0.16,-0.31,-0.45,-0.22,-0.16,-0.36,-0.16,-0.27,-0.24,-0.21,-0.11,-0.46,-0.41,-0.30,-0.47,-0.33,-0.20,-0.49,-0.13,-0.10,-0.27,-0.20,-0.24,-0.33,-0.36,-0.37,-0.26,-0.41,-0.25,-0.42,-0.28
x010,-0.21,-0.15,-0.29,-0.38,-0.28,-0.42,-0.33,-0.17,-0.39,-0.38,-0.18,-0.25,-0.24,-0.35,-0.16,-0.26,-0.34,-0.30,-0.41,-0.36,-0.21,-0.37,-0.29,-0.30,-0.27,-0.13,-0.34,-0.22,-0.17,-0.11,-0.29,-0.28,-0.36,-0.49,-0.46,-0.50,-0.14,-0.33,-0.25,-0.35,-0.16,-0.29,-0.12,-0.14,-0.17,-0.47,-0.32,-0.41,-0.43
