,x001,x002,x003,x004,x005,x006,x007,x008,x009,x010,x011,x012,x013,x014,x015,x016,x017,x018,x019,x020,x021,x022,x023,x024,x025,x026,x027,x028,x029,x030,x031,x032,x033,x034,x035,x036,x037,x038,x039,x040,x041,x042,x043,x044,x045,x046,x047,x048,x049
x001,-4.00,0.37,0.46,0.33,0.27,-0.18,-0.11,-0.36,-0.46,-0.49,-0.20,-0.18,-0.31,-0.11,-0.11,-0.43,-0.38,-0.24,-0.35,-0.17,-0.21,-0.34,-0.48,-0.44,-0.23,-0.22,-0.46,-0.37,-0.40,-0.33,-0.39,-0.47,-0.36,-0.28,-0.39,-0.45,-0.24,-0.18,-0.22,-0.27,-0.17,-0.26,-0.21,-0.22,-0.11,-0.44,-0.49,-0.19,-0.35
x002,0.10,-0.50,0.10,0.10,0.10,-0.35,-0.10,-0.46,-0.50,-0.39,-0.19,-0.21,-0.32,-0.39,-0.20,-0.19,-0.33,-0.18,-0.31,-0.44,-0.11,-0.15,-0.37,-0.38,-0.40,-0.27,-0.28,-0.23,-0.25,-0.42,-0.16,-0.15,-0.33,-0.15,-0.16,-0.41,-0.40,-0.23,-0.31,-0.41,-0.48,-0.27,-0.15,-0.20,-0.26,-0.25,-0.17,-0.14,-0.18
x003,-0.46,-0.46,-0.16,-0.20,-0.30,-0.30,-0.24,-0.29,-0.18,-0.16,-0.34,-0.16,-0.26,-0.35,-0.16,-0.48,-0.10,-0.19,-0.38,-0.49,-0.41,-0.43,-0.47,-0.38,-0.46,-0.20,-0.15,-0.50,-0.22,-0.47,-0.41,-0.29,-0.38,-0.33,-0.11,-0.44,-0.16,-0.39,-0.49,-0.11,-0.17,-0.38,-0.19,-0.20,-0.48,-0.14,-0.19,-0.45,-0.26
x004,-0.35,-0.30,-0.10,-0.12,-0.32,-0.14,-0.33,-0.45,-0.38,-0.16,-0.14,-0.12,-0.30,-0.49,-0.20,-0.15,-0.26,-0.31,-0.45,-0.42,-0.48,-0.48,-0.36,-0.35,-0.26,-0.29,-0.14,-0.35,-0.23,-0.16,-0.12,-0.16,-0.40,-0.17,-0.14,-0.46,-0.39,-0.21,-0.47,-0.34,-0.24,-0.38,-0.25,-0.35,-0.10,-0.45,-0.16,-0.33,-0.30
x005,-0.30,-0.10,-0.17,-0.32,-0.42,-0.24,-0.14,-0.44,-0.25,-0.13,-0.50,-0.50,-0.26,-0.49,-0.34,-0.16,-0.11,-0.35,-0.27,-0.50,-0.38,-0.25,-0.33,-0.46,-0.32,-0.27,-0.37,-0.29,-0.38,-0.28,-0.12,-0.23,-0.18,-0.31,-0.11,-0.34,-0.50,-0.48,-0.13,-0.20,-0.31,-0.45,-0.46,-0.41,-0.21,-0.41,-0.46,-0.19,-0.46
x006,-0.19,-0.20,-0.22,-0.28,-0.48,-0.40,-0.33,-0.47,-0.45,-0.43,-0.29,-0.23,-0.30,-0.19,-0.20,-0.46,-0.29,-0.19,-0.40,-0.17,-0.14,-0.33,-0.22,-0.22,-0.15,-0.35,-0.25,-0.41,-0.33,-0.11,-0.36,-0.21,-0.40,-0.49,-0.34,-0.44,-0.12,-0.39,-0.33,-0.48,-0.45,-0.35,-0.21,-0.30,-0.27,-0.18,-0.34,-0.14,-0.44
x007,-0.30,-0.34,-0.38,-0.48,-0.45,-0.46,-0.28,-0.26,-0.27,-0.39,-0.26,-0.45,-0.24,-0.17,-0.30,-0.10,-0.24,-0.47,-0.27,-0.21,-0.47,-0.17,-0.37,-0.29,-0.37,-0.22,-0.46,-0.42,-0.28,-0.28,-0.31,-0.35,-0.36,-0.27,-0.16,-0.13,-0.43,-0.11,-0.24,-0.39,-0.36,-0.42,-0.21,-0.19,-0.28,-0.20,-0.31,-0.50,-0.45
x008,-0.39,-0.11,-0.35,-0.19,-0.26,-0.28,-0.21,-0.30,-0.36,-0.41,-0.18,-0.25,-0.45,-0.47,-0.11,-0.39,-0.28,-0.20,-0.49,-0.16,-0.31,-0.30,-0.37,-0.46,-0.19,-0.13,-0.16,-0.33,-0.39,-0.26,-0.17,-0.36,-0.42,-0.11,-0.39,-0.20,-0.39,-0.14,-0.46,-0.21,-0.44,-0.32,-0.17,-0.49,-0.35,-0.23,-0.25,-0.39,-0.11
x009,-0.43,-0.24,-0.17,-0.37,-0.26,-0.19,-0.38,-0.40,-0.26,-0.25,-0.15,-0.16,-0.44,-0.17,-0.40,-0.16,-0.35,-0.50,-0.12,-0.43,-0.18,-0.32,-0.19,-0.47,-0.31,-0.35,-0.29,-0.17,-0.15,-0.28,-0.19,-0.45,-0.48,-0.39,-0.16,-0.11,-0.20,-0.22,-0.22,-0.30,-0.29,-0.24,-0.28,-0.16,-0.13,-0.18,-0.17,-0.41,-0.33
x010,-0.46,-0.34,-0.43,-0.46,-0.14,-0.13,-0.34,-0.44,-0.24,-0.38,-0.19,-0.43,-0.40,-0.35,-0.32,-0.46,-0.33,-0.14,-0.39,-0.11,-0.50,-0.34,-0.31,-0.16,-0.34,-0.22,-0.38,-0.17,-0.19,-0.39,-0.11,-0.11,-0.11,-0.22,-0.40,-0.41,-0.45,-0.27,-0.23,-0.16,-0.40,-0.25,-0.45,-0.45,-0.10,-0.23,-0.22,-0.42,-0.38
x011,-0.33,-0.26,-0.16,-0.12,-0.24,-0.26,-0.30,-0.50,-0.32,-0.47,-0.18,-0.47,-0.16,-0.30,-0.41,-0.36,-0.45,-0.21,-0.13,-0.20,-0.35,-0.41,-0.32,-0.43,-0.24,-0.33,-0.19,-0.11,-0.15,-0.35,-0.20,-0.26,-0.15,-0.41,-0.47,-0.15,-0.36,-0.13,-0.32,-0.28,-0.16,-0.18,-0.12,-0.12,-0.17,-0.20,-0.18,-0.48,-0.19
x012,-0.34,-0.35,-0.16,-0.43,-0.28,-0.30,-0.44,-0.19,-0.12,-0.22,-0.32,-0.37,-0.46,-0.24,-0.16,-0.49,-0.22,-0.16,-0.16,-0.12,-0.15,-0.43,-0.17,-0.16,-0.49,-0.42,-0.48,-0.43,-0.11,-0.39,-0.40,-0.21,-0.37,-0.14,-0.23,-0.11,-0.19,-0.48,-0.12,-0.42,-0.12,-0.45,-0.16,-0.37,-0.22,-0.29,-0.35,-0.40,-0.31
x013,-0.35,-0.39,-0.47,-0.34,-0.25,-0.46,-0.29,-0.40,-0.41,-0.32,-0.29,-0.10,-0.34,-0.17,-0.13,-0.29,-0.18,-0.40,-0.28,-0.50,-0.16,-0.42,-0.10,-0.36,-0.30,-0.20,-0.29,-0.25,-0.17,-0.28,-0.12,-0.43,-0.15,-0.35,-0.36,-0.48,-0.16,-0.38,-0.36,-0.42,-0.25,-0.25,-0.19,-0.38,-0.46,-0.14,-0.14,-0.46,-0.16
x014,-0.35,-0.46,-0.14,-0.20,-0.22,-0.21,-0.41,-0.15,-0.33,-0.11,-0.41,-0.28,-0.45,-0.49,-0.30,-0.44,-0.14,-0.10,-0.38,-0.20,-0.14,-0.45,-0.32,-0.38,-0.37,-0.11,-0.47,-0.30,-0.39,-0.48,-0.45,-0.14,-0.43,-0.47,-0.15,-0.32,-0.31,-0.12,-0.38,-0.24,-0.13,-0.43,-0.46,-0.39,-0.26,-0.20,-0.38,-0.38,-0.38
x015,-0.44,-0.49,-0.14,-0.39,-0.18,-0.40,-0.40,-0.29,-0.44,-0.19,-0.37,-0.46,-0.35,-0.33,-0.14,-0.38,-0.13,-0.44,-0.29,-0.27,-0.20,-0.42,-0.28,-0.22,-0.32,-0.10,-0.34,-0.48,-0.32,-0.36,-0.45,-0.16,-0.44,-0.48,-0.29,-0.12,-0.36,-0.15,-0.10,-0.16,-0.30,-0.22,-0.19,-0.33,-0.12,-0.10,-0.47,-0.47,-0.37
x016,-0.23,-0.42,-0.29,-0.21,-0.30,-0.43,-0.21,-0.22,-0.48,-0.18,-0.37,-0.11,-0.49,-0.44,-0.27,-0.19,-0.24,-0.24,-0.46,-0.14,-0.31,-0.47,-0.48,-0.26,-0.22,-0.25,-0.33,-0.45,-0.15,-0.25,-0.47,-0.40,-0.16,-0.30,-0.26,-0.26,-0.10,-0.24,-0.46,-0.23,-0.46,-0.13,-0.41,-0.17,-0.19,-0.24,-0.47,-0.28,-0.44
x017,-0.35,-0.12,-0.10,-0.38,-0.21,-0.40,-0.33,-0.41,-0.45,-0.35,-0.22,-0.11,-0.31,-0.11,-0.14,-0.29,-0.21,-0.19,-0.38,-0.33,-0.22,-0.30,-0.27,-0.16,-0.36,-0.29,-0.25,-0.32,-0.38,-0.14,-0.35,-0.23,-0.13,-0.36,-0.21,-0.48,-0.24,-0.15,-0.47,-0.14,-0.11,-0.28,-0.40,-0.48,-0.29,-0.18,-0.34,-0.37,-0.37
x018,-0.41,-0.32,-0.26,-0.40,-0.32,-0.28,-0.39,-0.50,-0.42,-0.17,-0.33,-0.45,-0.32,-0.31,-0.42,-0.40,-0.43,-0.16,-0.11,-0.35,-0.26,-0.25,-0.30,-0.24,-0.49,-0.43,-0.28,-0.13,-0.48,-0.30,-0.34,-0.50,-0.25,-0.32,-0.45,-0.24,-0.32,-0.34,-0.14,-0.16,-0.46,-0.27,-0.27,-0.36,-0.17,-0.30,-0.46,-0.17,-0.48
x019,-0.45,-0.10,-0.49,-0.36,-0.36,-0.34,-0.46,-0.25,-0.31,-0.12,-0.24,-0.31,-0.18,-0.13,-0.45,-0.45,-0.40,-0.31,-0.13,-0.18,-0.46,-0.36,-0.42,-0.16,-0.35,-0.16,-0.45,-0.29,-0.17,-0.44,-0.21,-0.23,-0.27,-0.35,-0.44,-0.43,-0.20,-0.11,-0.34,-0.12,-0.42,-0.49,-0.36,-0.13,-0.10,-0.26,-0.14,-0.30,-0.47
x020,-0.41,-0.19,-0.47,-0.13,-0.38,-0.37,-0.23,-0.17,-0.21,-0.23,-0.37,-0.31,-0.12,-0.12,-0.25,-0.19,-0.30,-0.13,-0.50,-0.31,-0.31,-0.42,-0.43,-0.34,-0.26,-0.26,-0.34,-0.33,-0.30,-0.23,-0.19,-0.12,-0.42,-0.14,-0.25,-0.27,-0.34,-0.33,-0.15,-0.41,-0.42,-0.36,-0.40,-0.38,-0.14,-0.17,-0.14,-0.48,-0.42
x021,-0.16,-0.35,-0.31,-0.44,-0.49,-0.24,-0.47,-0.11,-0.35,-0.28,-0.36,-0.11,-0.36,-0.43,-0.42,-0.13,-0.48,-0.27,-0.40,-0.11,-0.37,-0.39,-0.48,-0.38,-0.17,-0.14,-0.15,-0.49,-0.31,-0.35,-0.33,-0.22,-0.49,-0.36,-0.15,-0.49,-0.29,-0.26,-0.39,-0.17,-0.42,-0.30,-0.11,-0.23,-0.39,-0.47,-0.45,-0.41,-0.31
